restaurant_id,names,restaurant_type,address,num_of_reviews,rating,zip_code,lati,longi
nI1UYDCYUTt23TpGxqnLKg,Buddakan,chinese,75 9th Ave,4218,4,10011,40.74227627,-74.0048001
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,chinese,334 W 46th St,1436,4,10036,40.76015,-73.9893699
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,chinese,150 E 50th St,558,4.5,10022,40.75589371,-73.97153473
xq0cX_DgxiJMXwhmEl9kUA,Café China,chinese,59 W 37th St,1718,4,10018,40.75157,-73.98584
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,chinese,46 Bowery St,6595,4,10013,40.7156608,-73.9967012
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,chinese,40 W 56th St,406,4.5,10019,40.76292,-73.976546
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,chinese,79 Chrystie St,1700,4.5,10002,40.71735,-73.99457
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,chinese,409 W 15th St,1151,4.5,10011,40.74207,-74.00565
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,chinese,461 W 23rd St,837,4.5,10011,40.74769301,-74.00350737
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,chinese,24 W 56th St,462,4.5,10019,40.76278,-73.97589
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,chinese,1659 1st Ave,497,4.5,10028,40.77726,-73.94932
Va_mnsEvBghHXvc7uZIWJQ,Spice Symphony,chinese,182 Lexington Ave,632,4,10016,40.744722,-73.981202
BPErPpKSNluwcjbKRgze3w,Xi'an Famous Foods,chinese,328 E 78th St,588,4,10075,40.77197,-73.95452
H1jops1lmuhrq9lP7lEGJQ,Flor De Mayo,chinese,484 Amsterdam Ave,1243,4,10024,40.78609,-73.97658
IhSVn0TaX8xXb3wcQ-fgcA,Vanessa's Dumpling House,chinese,118A Eldridge St,2726,4,10002,40.71839,-73.9917399
uaFHoq-a5XqxF-bsOK9_Qg,Real Kung Fu Little Steamed Buns Ramen,chinese,811 8th Ave,1062,3.5,10019,40.76162866,-73.98688
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou Cuisine Restaurant,chinese,295 Grand St,973,4.5,10002,40.7174109,-73.9920876
Xf6e3HaP0AgMBxY7dEDkOA,99 Favor Taste - New York,chinese,285 Grand St,1972,4,10002,40.7176199,-73.99249
R26zweQ8-xoZS7iHkXQOvw,Shanghai 21,chinese,21 Mott St,1812,4,10013,40.71441,-73.99902
Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon East Village,chinese,328 E 6th St,494,4.5,10003,40.72674,-73.98722
4FD0TAxe70nb3ngk3sXF9Q,Uluh,chinese,152 2nd Ave,627,4.5,10003,40.7293403,-73.9866071
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,chinese,90 3rd Ave,1289,4,10003,40.732072,-73.988074
M-odQWSEfsR2mVEw7nKG-g,Nyonya,chinese,199 Grand St,2198,4,10013,40.7190148,-73.9968228
h0pRCiJDrCN7tm3VX5tILQ,CHILI,chinese,13 E 37th St,159,4.5,10016,40.75002,-73.98215
UK1oGbr8GU2rufpnJR4-HQ,Joe's Home of Soup Dumplings,chinese,7 E 48th St,160,4.5,10017,40.75723,-73.97702
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,chinese,320 Lexington Ave,235,4.5,10016,40.74922,-73.97785
-lgNzAEyFr8LCTuBTWnAMg,Dim Sum Palace,chinese,28 W 56th St,365,4,10019,40.7627655,-73.97609185
7ZQSMqWzvXMSetXnii2fBg,Excellent Dumpling House,chinese,165 W 23rd St,697,4,10011,40.74404944,-73.99502819
Vzx-7-jSEBz2g8NuGVhHvQ,Philippe By Philippe Chow,chinese,33 E 60th St,797,3.5,10065,40.76409,-73.97039
SNhDVaf_n7VDZcfry8mYdA,The Bao,chinese,13 St Marks Pl,1311,4,10003,40.72939,-73.9889199
NXg-oNpx0GYNiErdHb8L5A,Awesum Dimsum,chinese,160 E 23rd St,268,4.5,10010,40.7388534,-73.9836737
s5JNxy0eAFgxS2Poi73ODw,Mala Project,chinese,41 W 46th St,425,4,10036,40.756899,-73.980586
Kqb7MjTPNkjPMoFRd-rWpw,MáLà Project,chinese,122 1st Ave,771,4,10009,40.72713,-73.98542
uiQ6p_3biJD5S4PrF58t_g,Szechuan Gourmet,chinese,21 W 39th St,841,3.5,10018,40.75226727,-73.98361072
9b_FvTUgkkUUMyL0nGhFtg,Three Roosters,chinese,792 9th Ave,129,4.5,10019,40.764957,-73.987485
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,chinese,550 3rd Ave,420,4,10016,40.74744,-73.97728
SyvC0s3y0ZrtnLbwnvw7tw,Tim Ho Wan,chinese,85 4th Ave,1785,3.5,10003,40.731338,-73.990145
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,chinese,23 St Marks Pl,469,4.5,10003,40.72911,-73.98858
pCfGgX0WxGASGM4-Yhr2Pw,Hao Noodle Chelsea,chinese,343 W 14th St,479,4.5,10014,40.7406999,-74.00436
ynIx549QFj29o84y1RSGyw,Bao Bao Cafe,chinese,61 Lexington Ave,486,4,10010,40.740829,-73.983474
97q5nUQTuBo_h00XCxna2A,Tasty Hand-Pulled Noodles,chinese,1 Doyers St,1687,4,10013,40.7142,-73.99787
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,chinese,314 E 70th St,211,4.5,10021,40.76701,-73.95846
x_t-FtDa5HVgc-wecp0HBg,Supreme Restaurant,chinese,100 Mott St,2190,3.5,10013,40.71726,-73.99721
scTDvJ2M2jDbb1ntVeIyxA,Hao Noodle - West Village,chinese,401 6th Ave,789,4,10014,40.73348632,-73.9998929
0dDCDQz7DrKkSvu9h2hcQw,Chow House,chinese,181 Bleecker St,489,4.5,10012,40.72915,-74.00072
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,chinese,360 W 42nd Street,515,4,10036,40.75829021,-73.9925114
WRPJeH3goSpj5ke3Pkrnfw,Burp Bowl Cafe,chinese,134 E 27th St,248,4.5,10010,40.74183,-73.98271
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,chinese,1378 3rd Ave,445,4,10075,40.773951,-73.957927
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,chinese,1420 3rd Ave,444,4,10028,40.77544,-73.95686
bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,chinese,13 Mott St,1241,4,10013,40.714167,-73.998803
53lgp8fFEuK3Yo7yeXc89A,Tim Ho Wan - Hell's Kitchen,chinese,610 9th Ave,478,3.5,10036,40.75935,-73.99175
olRNNJCJ2TJvPRmjBiOcGA,Silky Kitchen,chinese,137 E 13th St,253,4.5,10003,40.73297,-73.98829
l44CFBTejwL0ElKmkH7xQQ,Decoy,chinese,529 Hudson St,439,4,10014,40.73420742,-74.006519
tguMh2GgOcU9fu6WN3dqpw,The Original Buddha Bodai Kosher Vegetarian Restaurant,chinese,5 Mott St,1122,4,10013,40.7138543,-73.9989484
_usWsAYSKKV2q8xw-3ajrA,Nom Wah Tea Parlor,chinese,13 Doyers St,2165,3.5,10013,40.71449052,-73.99815386
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,chinese,204E 58th St,345,3.5,10022,40.76063,-73.96664
8ig0yf0003DAp4YOGTlbVg,Spicy Village,chinese,68 Forsyth St,734,4,10002,40.71695,-73.99327
fPW_GBZsnBNsIzK62sCHBg,Xi'an Famous Foods,chinese,45 Bayard St,1090,4,10013,40.715082,-73.997342
qrncvjkiKN5Z-JC06ygy6A,Hutong,chinese,731 Lexington Ave,380,3.5,10022,40.761551,-73.967443
l1nX-f46dmOEmYPoiuLSaw,Peking Duck House,chinese,236 E 53rd St,479,3.5,10022,40.756912,-73.968109
qGgQMVExGERqGhZNDM2ROg,Wu Liang Ye,chinese,36 W 48th St,525,3.5,10036,40.75781,-73.97994
OvdCm3j_5HzItolfvwrEUA,Lilli & Loo,chinese,1026 3rd Ave,424,3.5,10065,40.76273876,-73.96594828
L37A2JWXfwR_PgKColA8xA,Big Wong,chinese,67 Mott St,1485,3.5,10013,40.71627244,-73.99827844
BNaveJmi-OUGKG9sRfrIhA,Mr. Sun,chinese,48 W 48th St,88,4.5,10036,40.75809,-73.98026
0GftSP2dRwEzujkv2VKIgA,Wok Wok Southeast Asian Kitchen,chinese,11 Mott St,1085,4,10013,40.7140555,-73.99883871
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,chinese,215 W 85th St,637,4,10024,40.78752,-73.97647
9HD5HQiTkURkx5i7hL92EA,Spicy Moon West Village,chinese,68 W 3rd St,204,4.5,10012,40.729318,-73.99832
g512kssHLLTdDbUJHTmJFw,Stick To My Pot Potsticker,chinese,224 W 35th St,188,4.5,10001,40.75202,-73.99121
lQ8Fzgji9qmgRXkFcvAsVQ,Chong Qing Xiao Mian,chinese,796 9th Ave,325,4,10019,40.76513,-73.98753
bT4CDzyhV-frXV6ijvXnvw,Super Taste,chinese,26 Eldridge St,611,4,10002,40.715117,-73.9933339
zubN8Ve-RyoljRZV4NRxEQ,Wo Hop,chinese,17 Mott St,1529,3.5,10013,40.7142239,-73.99886917
BtsXojrMtfLRhhFK7rm35A,Hupo,chinese,1007 50th Ave,159,4.5,11101,40.742827,-73.953575
rYw5rQbWRX9buZHZbxqWdA,Congee Village,chinese,100 Allen St,1662,3.5,10002,40.7187,-73.99031
ePVlFbTzdVQFWie__kdplg,Main Noodle House,chinese,1011 6th Ave,428,3.5,10018,40.752143,-73.986396
d_TC6Om2EBTzHVm_lCgNtg,Great NY Noodle Town,chinese,28 Bowery,1383,3.5,10013,40.71503638,-73.99711724
yFub1BhKEP-W-_ZM3_nJoQ,Bodhi Kosher Vegetarian Restaurant,chinese,77 Mulberry St,446,4.5,10013,40.71641,-73.99931
1jAB_uaI8-P_wSqOo2S3KQ,Mazu Szechuan,chinese,495 3rd Ave,80,4.5,10016,40.745234,-73.97812
smxIke5NSkMIExa6jLVw-g,Joe's Steam Rice Roll,chinese,422 Amsterdam Ave,124,4.5,10024,40.78411,-73.977964
2wVirrAVg3ltAFHoHeXHMQ,Dim Sum Palace,chinese,59 2nd Ave,281,4.5,10003,40.7259,-73.98986
B87c3bE_u53yNYO1cmHSIw,Flor de Mayo,chinese,2651 Broadway,600,4,10025,40.797859,-73.969948
6dVXDdgzDEVt4DvHzpWo9w,Tang Pavilion,chinese,65 W 55th St,320,3.5,10019,40.762849,-73.977189
Ece_DRuD1yQjRPJBAebRpw,Kung Fu Little Steamed Buns Ramen,chinese,146 E 55th St,341,3.5,10022,40.75925147,-73.96942947
